GIFI_Code,Description,Amount,Note
8000,Trade sales of goods and services,181235,
8299,Total revenue,181235,
8518,Cost of sales,106091,"Includes inventory shrinkage $1,370"
8519,Gross profit/loss,75144,
8520,Advertising and promotion,1606,
8523,Meals and entertainment,518,50% add-back = $259
8622,Employer's portion of employee benefits,1463,
8670,Amortization of tangible assets,865,
8690,Insurance,1851,
8710,Interest and bank charges,2218,"Includes bank charges + payment processing fees. In Option 1 (book fixed assets), capitalized items originally expensed here are removed via the book overlay (see breakdown below)."
8810,Office expenses,1998,
8813,Data processing,1135,Computer hardware + SaaS (under capitalization threshold)
8860,Professional fees,879,
8911,Real estate rental,8235,
8960,Repairs and maintenance,429,
9060,Salaries and wages,23485,
9130,Supplies,5494,Packaging + operating supplies
9131,Small tools,23,
9270,Other expenses,71,Includes CRA penalties $71 (non-deductible)
9275,"Delivery, freight and express",100,
9281,Vehicle expenses,4393,
9367,Total operating expenses,54763,
9368,Total expenses,160854,
9999,Net income/loss after taxes,20381,
