GIFI_Code,Description,Amount,Note
8000,Trade sales of goods and services,230907,
8299,Total revenue,230907,
8518,Cost of sales,112456,Includes inventory shrinkage $200
8519,Gross profit/loss,118451,
8520,Advertising and promotion,798,
8523,Meals and entertainment,408,50% add-back = $204
8622,Employer's portion of employee benefits,3610,
8670,Amortization of tangible assets,717,
8690,Insurance,1951,
8710,Interest and bank charges,3371,"Includes bank charges + payment processing fees. In Option 1 (book fixed assets), capitalized items originally expensed here are removed via the book overlay (see breakdown below)."
8810,Office expenses,2939,
8813,Data processing,2915,Computer hardware + SaaS (under capitalization threshold)
8860,Professional fees,353,
8911,Real estate rental,7137,
8960,Repairs and maintenance,585,
9060,Salaries and wages,54899,
9130,Supplies,4620,Packaging + operating supplies
9131,Small tools,479,
9225,Telephone and telecommunications,465,Internet
9270,Other expenses,293,Includes CRA penalties $274 (non-deductible)
9275,"Delivery, freight and express",96,
9281,Vehicle expenses,3510,
9367,Total operating expenses,89146,
9368,Total expenses,201602,
9999,Net income/loss after taxes,29305,
