GIFI_Code,Description,Amount
8000,Trade sales of goods and services,181235
8299,Total revenue,181235
8518,Cost of sales,109279
8519,Gross profit / loss,71956
8520,Advertising and promotion,1606
8523,Meals and entertainment,518
8622,Employers portion of employee benefits,1463
8670,Amortization of tangible assets,330
8690,Insurance,1851
8710,Interest and bank charges,2218
8810,Office expenses,1370
8813,Data processing,1135
8860,Professional fees,879
8911,Real estate rental,8235
8960,Repairs and maintenance,458
9060,Salaries and wages,23485
9130,Supplies,5561
9131,Small tools,23
9270,Other expenses,346
9275,"Delivery, freight and express",100
9281,Vehicle expenses,4403
9367,Total operating expenses,53981
9368,Total expenses,163260
9999,Net income / loss after taxes/extraord item,17975
